Timestamp,Latitud (°),Longitud (°),Altitud (km),Elevación (°),Azimut (°),Distancia (km),VISIBLE (1/0)
2025-11-12T12:30:40.979836+00:00,-54.31290502088596,173.17027648011205,512.5476805484208,-79.2468330413177,233.8808589960058,13026.197347551073,0
2025-11-12T12:30:55.979836+00:00,-53.38766481629059,172.75056913256637,512.2695328529874,-79.4786245479531,236.30999506738772,13035.758313118915,0
2025-11-12T12:31:10.979836+00:00,-52.46121920117072,172.3460016072394,511.9873789811149,-79.69308853603823,238.8376667001589,13044.460032749106,0
2025-11-12T12:31:25.979836+00:00,-51.533640514244155,171.9554772608322,511.70152901216153,-79.88910949922479,241.46179191576437,13052.301228794613,0
2025-11-12T12:31:40.979836+00:00,-50.60499441642385,171.5779988663095,511.4122964618514,-80.06558234719542,244.17867152539918,13059.280688170466,0
2025-11-12T12:31:55.979836+00:00,-49.67534066878866,171.21265764776996,511.1199979440546,-80.22143491033061,246.98282838084057,13065.397262464827,0
2025-11-12T12:32:10.979836+00:00,-48.74473380899242,170.8586237123219,510.8249528286321,-80.3556532603137,249.8669022109785,13070.649868052038,0
2025-11-12T12:32:25.979836+00:00,-47.81322374108931,170.51513767840893,510.5274828957248,-80.46730891087269,252.82162091637903,13075.037486208019,0
2025-11-12T12:32:40.979836+00:00,-46.88085625129595,170.18150333183524,510.227911986847,-80.5555865710642,255.83586626943617,13078.559163227044,0
2025-11-12T12:32:55.979836+00:00,-45.94767346024127,169.8570811669629,509.92656565318725,-80.61981079678637,258.8968455875018,13081.214010539892,0
2025-11-12T12:33:10.979836+00:00,-45.0137142204992,169.5412826923767,509.6237708014236,-80.65946969686215,261.9903713208399,13083.001204833046,0
2025-11-12T12:33:25.979836+00:00,-44.07901446692168,169.23356539857483,509.31985533739777,-80.6742338616838,265.10123867768357,13083.919988168236,0
2025-11-12T12:33:40.979836+00:00,-43.1436075260856,168.93342830037744,509.015147808183,-80.6639689307361,268.21367923615924,13083.969668102325,0
2025-11-12T12:33:55.979836+00:00,-42.2075243902482,168.64040797953075,508.7099770427368,-80.62874069201087,271.3118582456548,13083.149617807134,0
2025-11-12T12:34:10.979836+00:00,-41.27079396038619,168.3540750636911,508.40467179166086,-80.56881225395621,274.38037713659253,13081.45927618885,0
2025-11-12T12:34:25.979836+00:00,-40.33344326225326,168.0740310870358,508.09956036643797,-80.48463355150197,277.4047420067363,13078.898148006421,0
2025-11-12T12:34:40.979836+00:00,-39.39549763883302,167.79990568530317,507.7949702784877,-80.37682412633085,280.37176370441756,13075.465803989347,0
2025-11-12T12:34:55.979836+00:00,-38.4569809220285,167.5313540846388,507.49122787851434,-80.24615065267768,283.26986449973407,13071.161880953514,0
2025-11-12T12:35:10.979836+00:00,-37.51791558611352,167.26805484903292,507.1886579965215,-80.09350099383185,286.0892782297117,13065.986081915307,0
2025-11-12T12:35:25.979836+00:00,-36.57832288533292,167.0097078559018,506.8875835829481,-79.9198566494324,288.8221429183816,13059.938176205436,0
2025-11-12T12:35:40.979836+00:00,-35.638222976794566,166.75603247317892,506.5883253511645,-79.72626531426916,291.46249521142903,13053.017999577065,0
2025-11-12T12:35:55.979836+00:00,-34.6976350312698,166.5067659150619,506.2912014220482,-79.51381497420138,294.0061832412235,13045.225454314223,0
2025-11-12T12:36:10.979836+00:00,-33.75657733256727,166.2616617560458,505.9965269707548,-79.28361058453456,296.45071834946873,13036.560509336312,0
2025-11-12T12:36:25.979836+00:00,-32.81506736704034,166.020488585788,505.70461387627597,-79.03675397972387,298.7950867304875,13027.023200299509,0
2025-11-12T12:36:40.979836+00:00,-31.873121904186757,165.7830287892713,505.41577037413975,-78.77432730224811,301.0395402949711,13016.613629694579,0
2025-11-12T12:36:55.979836+00:00,-30.930757069367484,165.54907743876888,505.13030071267,-78.49737994499363,303.18538280893216,13005.331966941098,0
2025-11-12T12:37:10.979836+00:00,-29.987988409406622,165.31844128559968,504.8485048132401,-78.20691878801698,305.2347634947453,12993.17844847788,0
2025-11-12T12:37:25.979836+00:00,-29.044830951866842,165.09093784124812,504.57067793490853,-77.90390137495035,307.19048644540436,12980.153377849037,0
2025-11-12T12:37:40.979836+00:00,-28.10129925857657,164.86639453846058,504.2971103438237,-77.58923160532501,309.0558408214772,12966.257125785554,0
2025-11-12T12:37:55.979836+00:00,-27.15740747405402,164.64464796416362,504.02808698795076,-77.26375750138362,310.8344540761929,12951.490130282402,0
2025-11-12T12:38:10.979836+00:00,-26.21316936926888,164.4255431568424,503.7638871772501,-76.92827062590281,312.53016843466054,12935.852896670584,0
2025-11-12T12:38:25.979836+00:00,-25.268598381234362,164.20893296194353,503.50478426999535,-76.58350676745766,314.1469394795261,12919.345997684266,0
2025-11-12T12:38:40.979836+00:00,-24.323707648810583,163.99467743951112,503.25104536545985,-76.23014756056608,315.68875486019203,12901.97007352245,0
2025-11-12T12:38:55.979836+00:00,-23.378510045088692,163.78264331891435,503.00293100336216,-75.86882276245792,317.15957072092715,12883.725831905376,0
2025-11-12T12:39:10.979836+00:00,-22.43301820665812,163.57270349606696,502.7606948705553,-75.5001129606669,318.56326331772664,12864.614048125066,0
2025-11-12T12:39:25.979836+00:00,-21.487244560058404,163.36473656901225,502.5245835152145,-75.12455253328845,319.90359336485204,12844.635565090319,0
2025-11-12T12:39:40.979836+00:00,-20.54120134567122,163.15862640822223,502.29483606897827,-74.74263272508371,321.1841808416034,12823.791293365524,0
2025-11-12T12:39:55.979836+00:00,-19.594900639277544,162.95426175824406,502.07168397735916,-74.35480473733321,322.4084882410552,12802.082211203639,0
2025-11-12T12:40:10.979836+00:00,-18.64835437149148,162.7515358677636,501.8553507388004,-73.96148275763807,323.57981051510666,12779.509364572583,0
2025-11-12T12:40:25.979836+00:00,-17.70157434525417,162.55034614534372,501.6460516526906,-73.56304687844985,324.7012702394759,12756.073867175426,0
2025-11-12T12:40:40.979836+00:00,-16.754572251597484,162.35059383845075,501.4439935767152,-73.15984587069497,325.7758167723316,12731.776900464758,0
2025-11-12T12:40:55.979836+00:00,-15.807359683751669,162.15218373353622,501.2493746937992,-72.75219979224997,326.8062284041313,12706.619713649246,0
2025-11-12T12:41:10.979836+00:00,-14.859948149845327,161.955023875212,501.06238428902236,-72.34040242113437,327.79511669014795,12680.60362369484,0
2025-11-12T12:41:25.979836+00:00,-13.912349084227428,161.75902530263315,500.8832025367387,-71.92472351054042,328.74493232238405,12653.730015318468,0
2025-11-12T12:41:40.979836+00:00,-12.964573857618198,161.5641018015158,500.7120002982738,-71.50541086808097,329.6579720347584,12626.000340975792,0
2025-11-12T12:41:55.979836+00:00,-12.0166337861206,161.3701696702138,500.5489389303317,-71.08269226515479,330.53638614896283,12597.416120841131,0
2025-11-12T12:42:10.979836+00:00,-11.068540139271315,161.17714749848471,500.3941701045395,-70.65677718470982,331.3821864600717,12567.978942781918,0
2025-11-12T12:42:25.979836+00:00,-10.12030414715112,160.98495595765476,500.247835638233,-70.22785841701413,332.19725423503013,12537.690462325221,0
2025-11-12T12:42:40.979836+00:00,-9.171937006710397,160.79351760103566,500.11006733679176,-69.79611351382067,332.9833481558077,12506.552402618237,0
2025-11-12T12:42:55.979836+00:00,-8.223449887340745,160.60275667343936,499.98098684772776,-69.36170611149603,333.74211208560536,12474.566554381827,0
2025-11-12T12:43:10.979836+00:00,-7.2748539358060045,160.412598928845,499.86070552667786,-68.92478713358737,334.4750825725105,12441.734775857314,0
2025-11-12T12:43:25.979836+00:00,-6.326160280580095,160.22297145520218,499.74932431556806,-68.48549588294533,335.18369603330956,12408.058992746779,0
2025-11-12T12:43:40.979836+00:00,-5.377380035677413,160.0338025055398,499.64693363303326,-68.04396103302362,335.8692955814813,12373.541198146457,0
2025-11-12T12:43:55.979836+00:00,-4.428524304040296,159.84502133446912,499.5536132773073,-67.60030152740003,336.53313747990074,12338.183452474372,0
2025-11-12T12:44:10.979836+00:00,-3.479604180540382,159.65655803937375,499.469432341666,-67.15462739590511,337.17639721075545,12301.987883390882,0
2025-11-12T12:44:25.979836+00:00,-2.5306307546555185,159.46834340543109,499.39444914258837,-66.70704049513047,337.8001751644055,12264.956685713383,0
2025-11-12T12:44:40.979836+00:00,-1.581615112888384,159.28030875379983,499.3287111606944,-66.25763518042966,338.40550195514555,12227.092121324938,0
2025-11-12T12:44:55.979836+00:00,-0.6325683409775122,159.09238579225868,499.2722549945492,-65.80649891591366,338.9933433764558,12188.396519076663,0
2025-11-12T12:45:10.979836+00:00,0.3164984740343258,158.90450646756938,499.22510632742114,-65.35371282837019,339.5646050113835,12148.872274685069,0
2025-11-12T12:45:25.979836+00:00,1.2655742418362828,158.71660281894967,499.18727990702183,-64.8993522104616,340.12013651545703,12108.52185062302,0
2025-11-12T12:45:40.979836+00:00,2.2146478669122516,158.52860683194558,499.15877953824395,-64.4434869780833,340.66073559070054,12067.347776006045,0
2025-11-12T12:45:55.979836+00:00,3.1637082465903146,158.3404502920585,499.1395980889189,-63.98618208626858,341.187151669633,12025.352646473493,0
2025-11-12T12:46:10.979836+00:00,4.11274426903285,158.15206463746406,499.12971750860424,-63.52749790760219,341.7000893280984,11982.53912406428,0
2025-11-12T12:46:25.979836+00:00,5.061744811079666,157.96338081016782,499.1291088603098,-63.06749057673459,342.2002114453331,11938.909937088836,0
2025-11-12T12:46:40.979836+00:00,6.010698735918519,157.77432910485857,499.1377323652329,-62.60621230420947,342.68814212916084,11894.467879996891,0
2025-11-12T12:46:55.979836+00:00,6.959594890524993,157.58483901483442,499.15553746026535,-62.1437116624976,343.16446942323836,11849.215813240386,0
2025-11-12T12:47:10.979836+00:00,7.90842210278422,157.3948390742287,499.18246286842236,-61.68003384686815,343.6297478125474,11803.156663134021,0
2025-11-12T12:47:25.979836+00:00,8.857169178264257,157.20425669579882,499.21843668183425,-61.21522091343009,344.08450054232765,11756.29342171201,0
2025-11-12T12:47:40.979836+00:00,9.80582489656876,157.01301800347355,499.26337645741177,-60.74931199646394,344.5292217647236,11708.62914658215,0
2025-11-12T12:47:55.979836+00:00,10.754378007198524,156.82104765887084,499.31718932490094,-60.28234350694502,344.9643785263996,11660.166960777406,0
2025-11-12T12:48:10.979836+00:00,11.702817224852556,156.62826868084767,499.37977210726484,-59.8143493139761,345.39041260958004,11610.91005260612,0
2025-11-12T12:48:25.979836+00:00,12.651131224101833,156.43460225722598,499.4510114531626,-59.34536091066057,345.8077422379092,11560.861675500242,0
2025-11-12T12:48:40.979836+00:00,13.599308633368528,156.23996754759736,499.5307839813859,-58.87540756580751,346.21676365788653,11510.025147862563,0
2025-11-12T12:48:55.979836+00:00,14.547338028097704,156.04428147622235,499.6189564370549,-58.40451646272653,346.6178526055977,11458.403852914236,0
2025-11-12T12:49:10.979836+00:00,15.4952079230665,155.84745851381794,499.7153858592695,-57.932712826225675,347.0113656678798,11406.001238541925,0
2025-11-12T12:49:25.979836+00:00,16.44290676372779,155.64941044699404,499.8199197601716,-57.46002003883081,347.397641546269,11352.820817145595,0
2025-11-12T12:49:40.979836+00:00,17.390422916471707,155.4500461339774,499.932396314934,-56.98645974714904,347.7770022314342,11298.866165488356,0
2025-11-12T12:49:55.979836+00:00,18.337744657738195,155.24927124511987,500.05264456264894,-56.51205195918036,348.14975409521975,11244.14092454696,0
2025-11-12T12:50:10.979836+00:00,19.284860161790245,155.04698798661875,500.1804846176559,-56.03681513335516,348.5161889067621,11188.648799367262,0
2025-11-12T12:50:25.979836+00:00,20.231757487107526,154.8430948056108,500.31572789113613,-55.56076625992719,348.87658477876727,11132.39355892094,0
2025-11-12T12:50:40.979836+00:00,21.1784245611946,154.63748607473946,500.45817732265175,-55.083920935357035,349.23120704940806,11075.379035967566,0
2025-11-12T12:50:55.979836+00:00,22.124849163678356,154.4300517540201,500.60762762126996,-54.60629343021951,349.5803091049566,11017.60912692149,0
2025-11-12T12:51:10.979836+00:00,23.07101890752294,154.22067702762448,500.7638655160258,-54.127896751129256,349.9241331478339,10959.087791724585,0
2025-11-12T12:51:25.979836+00:00,24.016921218172712,154.0092419129903,500.9266700153193,-53.64874269712808,350.2629109143492,10899.819053725943,0
2025-11-12T12:51:40.979836+00:00,24.962543310416883,153.79562083934013,501.0958126749722,-53.168841910935676,350.5968643461002,10839.806999569499,0
2025-11-12T12:51:55.979836+00:00,25.907872162772737,153.57968219232984,501.27105787450455,-52.688203925414875,350.9262062187369,10779.055779089656,0
2025-11-12T12:52:10.979836+00:00,26.85289448910693,153.3612878213271,501.4521631013744,-52.20683720558388,351.2511407313564,10717.56960521702,0
2025-11-12T12:52:25.979836+00:00,27.79759670721645,153.14029250523308,501.6388792427197,-51.72474918647166,351.571864059713,10655.352753896088,0
2025-11-12T12:52:40.979836+00:00,28.741964904085847,152.91654337242906,501.8309508842712,-51.24194630705875,351.8885648760583,10592.409564013744,0
2025-11-12T12:52:55.979836+00:00,29.68598479745062,152.68987926979818,502.0281166160484,-50.758434040550846,352.2014248382981,10528.744437341673,0
2025-11-12T12:53:10.979836+00:00,30.629641693287986,152.4601300752312,502.23010934442544,-50.27421692118582,352.51061905089654,10464.361838493087,0
2025-11-12T12:53:25.979836+00:00,31.572920438772062,152.22711594736745,502.4366566101952,-49.78929856776979,352.8163164997488,10399.266294896637,0
2025-11-12T12:53:40.979836+00:00,32.515805370247435,151.99064650537804,502.64748091223515,-49.30368170408604,353.1186804632233,10333.462396786601,0
2025-11-12T12:53:55.979836+00:00,33.45828025562793,151.75051993088914,502.86230003629163,-48.817368176335705,353.41786890124615,10266.954797212817,0
